"id","date","country","os","experiment_mobile_checkout_theme","transaction_try","transaction_success"
10495696,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495687,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495682,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495668,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495652,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495640,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495602,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495585,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495570,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495568,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495567,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495540,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495533,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10495500,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10495474,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10495471,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495464,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495426,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495422,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495421,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495393,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10495386,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495382,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10495379,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495377,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495349,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495339,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495335,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10495329,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495328,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495327,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495313,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495285,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495269,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10495258,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10495249,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495235,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10495233,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495176,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495163,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495131,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495082,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10495066,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495059,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495051,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10495048,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10495011,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494921,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494908,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494898,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494889,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494849,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494837,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494823,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494806,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494804,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494782,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494777,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494766,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494748,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494727,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494713,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494708,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494661,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494610,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494607,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494602,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494578,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494568,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494561,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494548,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494516,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494501,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494499,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494477,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494470,2020-05-21,"USA","android","mobile_checkout_theme_old",0,0
10494446,2020-05-21,"USA","ios","mobile_checkout_theme_old",0,0
10494432,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
10494421,2020-05-21,"USA","ios","mobile_checkout_theme_new",0,0
10494416,2020-05-21,"USA","android","mobile_checkout_theme_new",0,0
